id,employment_type,average_salary,benefits,remote,job_posting_url,posting_date,closing_date
1,Part-time,44003,"Professional development assistance, Dental insurance, Parental leave, Retirement plan",True,https://jobs.temporary.com/job-1,2023-09-20,2023-11-23
2,Contract,128830,"Parental leave, Paid time off, Gym membership, Health insurance",False,https://jobs.full-time.com/job-2,2023-09-23,2023-10-23
3,Full-time,135886,"Health insurance, Gym membership, Professional development assistance, Dental insurance",True,https://jobs.internship.com/job-3,2023-09-13,2023-11-02
4,Internship,116593,"Paid time off, Tuition reimbursement, Vision insurance, Retirement plan",False,https://jobs.full-time.com/job-4,2023-09-05,2023-11-16
5,Temporary,85248,"Vision insurance, Paid time off, Tuition reimbursement, Parental leave",True,https://jobs.contract.com/job-5,2023-10-01,2023-11-13
6,Full-time,109817,"Gym membership, Vision insurance, Professional development assistance, Retirement plan, Parental leave",False,https://jobs.part-time.com/job-6,2023-09-08,2023-11-18
7,Internship,141005,"Dental insurance, Vision insurance, Retirement plan, Parental leave",False,https://jobs.temporary.com/job-7,2023-09-28,2023-10-23
8,Temporary,132291,"Gym membership, Retirement plan, Dental insurance",True,https://jobs.full-time.com/job-8,2023-09-29,2023-11-10
9,Contract,132942,"Paid time off, Health insurance, Retirement plan, Parental leave, Gym membership",True,https://jobs.full-time.com/job-9,2023-09-18,2023-11-17
10,Full-time,64580,"Vision insurance, Gym membership",True,https://jobs.temporary.com/job-10,2023-09-10,2023-11-26
11,Part-time,41233,"Health insurance, Paid time off, Gym membership, Dental insurance, Tuition reimbursement",False,https://jobs.contract.com/job-11,2023-09-10,2023-11-12
12,Contract,98866,"Tuition reimbursement, Health insurance",False,https://jobs.part-time.com/job-12,2023-10-01,2023-10-25
13,Part-time,84920,"Gym membership, Professional development assistance, Health insurance, Tuition reimbursement, Vision insurance",True,https://jobs.part-time.com/job-13,2023-09-11,2023-11-13
14,Internship,72290,"Dental insurance, Vision insurance, Tuition reimbursement, Health insurance, Paid time off",False,https://jobs.internship.com/job-14,2023-09-13,2023-10-21
15,Temporary,146086,"Dental insurance, Retirement plan, Gym membership, Vision insurance",False,https://jobs.part-time.com/job-15,2023-09-16,2023-11-03
16,Temporary,103530,"Retirement plan, Gym membership, Tuition reimbursement, Dental insurance",True,https://jobs.full-time.com/job-16,2023-09-22,2023-10-29
17,Temporary,140767,"Dental insurance, Professional development assistance",True,https://jobs.contract.com/job-17,2023-09-19,2023-11-14
18,Full-time,117908,"Gym membership, Paid time off, Vision insurance, Retirement plan",False,https://jobs.temporary.com/job-18,2023-09-28,2023-10-17
19,Part-time,103860,"Dental insurance, Health insurance, Parental leave",True,https://jobs.temporary.com/job-19,2023-09-24,2023-11-30
20,Contract,103906,"Tuition reimbursement, Parental leave, Retirement plan",False,https://jobs.contract.com/job-20,2023-09-17,2023-11-13
21,Full-time,114694,"Vision insurance, Tuition reimbursement, Paid time off, Health insurance, Dental insurance",True,https://jobs.temporary.com/job-21,2023-09-08,2023-11-15
22,Internship,107914,"Health insurance, Retirement plan, Dental insurance",False,https://jobs.full-time.com/job-22,2023-09-05,2023-11-27
23,Internship,118976,"Tuition reimbursement, Health insurance",False,https://jobs.internship.com/job-23,2023-09-25,2023-10-23
24,Temporary,126027,"Health insurance, Parental leave",True,https://jobs.contract.com/job-24,2023-09-12,2023-10-31
25,Full-time,149324,"Dental insurance, Retirement plan",False,https://jobs.temporary.com/job-25,2023-09-06,2023-11-04
26,Temporary,41445,"Vision insurance, Retirement plan",True,https://jobs.contract.com/job-26,2023-09-25,2023-11-04
27,Part-time,120033,"Professional development assistance, Tuition reimbursement",False,https://jobs.temporary.com/job-27,2023-09-18,2023-11-26
28,Full-time,140011,"Professional development assistance, Parental leave, Vision insurance, Dental insurance, Health insurance",False,https://jobs.part-time.com/job-28,2023-09-30,2023-11-17
29,Internship,128525,"Gym membership, Tuition reimbursement, Retirement plan",False,https://jobs.internship.com/job-29,2023-09-24,2023-11-09
30,Part-time,125943,"Paid time off, Gym membership",True,https://jobs.full-time.com/job-30,2023-09-02,2023-10-22
31,Full-time,119209,"Professional development assistance, Parental leave, Paid time off",False,https://jobs.temporary.com/job-31,2023-09-08,2023-11-10
32,Internship,69223,"Dental insurance, Retirement plan",True,https://jobs.full-time.com/job-32,2023-09-05,2023-11-03
33,Full-time,116118,"Parental leave, Tuition reimbursement, Health insurance, Dental insurance",True,https://jobs.full-time.com/job-33,2023-09-04,2023-11-18
34,Internship,98488,"Dental insurance, Professional development assistance, Tuition reimbursement, Vision insurance, Gym membership",False,https://jobs.full-time.com/job-34,2023-09-25,2023-10-29
35,Full-time,102752,"Health insurance, Vision insurance, Paid time off, Parental leave",False,https://jobs.contract.com/job-35,2023-09-08,2023-11-07
36,Internship,145791,"Professional development assistance, Tuition reimbursement, Parental leave, Dental insurance, Health insurance",False,https://jobs.temporary.com/job-36,2023-09-13,2023-11-23
37,Contract,96880,"Professional development assistance, Health insurance, Gym membership, Vision insurance, Retirement plan",True,https://jobs.full-time.com/job-37,2023-09-29,2023-10-29
38,Temporary,119802,"Retirement plan, Paid time off, Gym membership",True,https://jobs.contract.com/job-38,2023-09-04,2023-11-04
39,Contract,120379,"Paid time off, Tuition reimbursement",False,https://jobs.internship.com/job-39,2023-09-08,2023-11-08
40,Part-time,102076,"Vision insurance, Dental insurance, Retirement plan, Health insurance",False,https://jobs.temporary.com/job-40,2023-09-08,2023-10-31
