id,industry_name,growth_rate,industry_skills,top_companies,trends
1,Consulting,0.03,"S, c, a, l, a","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
2,Consulting,0.06,"S, Q, L","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
3,Finance,0.08,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
4,Finance,0.1,"N, o, S, Q, L","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
5,Tech,0.06,"S, p, a, r, k","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
6,Healthcare,0.09,"M, a, c, h, i, n, e,  , L, e, a, r, n, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
7,Healthcare,0.11,"N, o, S, Q, L","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
8,Tech,0.06,"N, o, S, Q, L","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
9,E-commerce,0.07,"S, c, a, l, a","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
10,Finance,0.12,"E, x, c, e, l","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
11,Consulting,0.1,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
12,Finance,0.12,"S, t, a, t, i, s, t, i, c, s","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
13,E-commerce,0.07,R,"Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
14,E-commerce,0.09,"H, a, d, o, o, p","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
15,Healthcare,0.08,"B, i, g,  , D, a, t, a","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
16,Tech,0.05,"J, a, v, a","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
17,Healthcare,0.06,"D, e, e, p,  , L, e, a, r, n, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
18,Finance,0.07,"M, a, t, l, a, b","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
19,Tech,0.1,"S, A, S","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
20,Healthcare,0.06,"E, x, c, e, l","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
21,Finance,0.11,"M, a, c, h, i, n, e,  , L, e, a, r, n, i, n, g","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
22,Finance,0.06,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
23,Consulting,0.04,"I, m, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
24,Finance,0.1,"S, t, a, t, i, s, t, i, c, s","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
25,E-commerce,0.07,"S, p, a, r, k","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
26,Consulting,0.04,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
27,E-commerce,0.11,"D, e, e, p,  , L, e, a, r, n, i, n, g","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
28,Tech,0.04,"D, e, e, p,  , L, e, a, r, n, i, n, g","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
29,Tech,0.07,"S, p, a, r, k","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
30,E-commerce,0.12,"S, t, a, t, i, s, t, i, c, s","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
31,Finance,0.1,"M, a, t, l, a, b","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
32,Healthcare,0.08,"S, Q, L","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
33,Healthcare,0.11,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
34,Tech,0.04,"S, Q, L","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
35,E-commerce,0.11,"M, a, t, l, a, b","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
36,Healthcare,0.1,"H, a, d, o, o, p","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
37,Tech,0.05,"N, o, S, Q, L","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
38,Healthcare,0.05,"H, a, d, o, o, p","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
39,Healthcare,0.08,"S, A, S","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
40,Finance,0.1,"N, o, S, Q, L","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
41,Healthcare,0.08,"M, a, t, l, a, b","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
42,Healthcare,0.04,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
43,Consulting,0.11,"S, c, a, l, a","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
44,Consulting,0.09,"S, c, a, l, a","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
45,Healthcare,0.04,"I, m, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
46,Tech,0.06,"I, m, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
47,Finance,0.1,"M, a, t, l, a, b","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
48,Finance,0.05,"H, a, d, o, o, p","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
49,Finance,0.11,R,"Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
50,E-commerce,0.06,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
51,Consulting,0.03,"E, x, c, e, l","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
52,Consulting,0.07,"J, a, v, a","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
53,Healthcare,0.1,"D, a, t, a,  , V, i, s, u, a, l, i, z, a, t, i, o, n","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
54,E-commerce,0.07,"M, a, c, h, i, n, e,  , L, e, a, r, n, i, n, g","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
55,Consulting,0.08,"I, m, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
56,Finance,0.06,"M, a, c, h, i, n, e,  , L, e, a, r, n, i, n, g","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
57,Consulting,0.07,"T, a, b, l, e, a, u","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
58,Consulting,0.09,"M, a, c, h, i, n, e,  , L, e, a, r, n, i, n, g","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
59,Finance,0.08,R,"Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
60,Consulting,0.05,"E, x, c, e, l","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
61,Finance,0.04,"J, a, v, a","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
62,Tech,0.05,"M, a, t, l, a, b","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
63,Consulting,0.05,"D, a, t, a,  , V, i, s, u, a, l, i, z, a, t, i, o, n","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
64,Healthcare,0.08,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
65,Consulting,0.11,"P, y, t, h, o, n","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
66,Finance,0.1,"B, i, g,  , D, a, t, a","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
67,Healthcare,0.05,"M, a, t, l, a, b","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
68,Finance,0.06,R,"Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
69,Tech,0.09,"D, a, t, a,  , V, i, s, u, a, l, i, z, a, t, i, o, n","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
70,E-commerce,0.1,"B, i, g,  , D, a, t, a","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
71,Consulting,0.07,"M, a, t, l, a, b","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
72,Finance,0.1,"D, e, e, p,  , L, e, a, r, n, i, n, g","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
73,Healthcare,0.1,"P, y, t, h, o, n","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
74,E-commerce,0.09,"J, a, v, a","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
75,Tech,0.03,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
76,E-commerce,0.1,R,"Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
77,Consulting,0.09,"S, Q, L","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
78,Consulting,0.05,"E, x, c, e, l","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
79,Finance,0.05,"T, a, b, l, e, a, u","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
80,Finance,0.08,"H, a, d, o, o, p","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
81,E-commerce,0.11,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
82,Healthcare,0.03,"M, a, t, l, a, b","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
83,E-commerce,0.07,"T, a, b, l, e, a, u","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
84,Tech,0.1,"D, e, e, p,  , L, e, a, r, n, i, n, g","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
85,Healthcare,0.04,"S, c, a, l, a","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
86,Tech,0.09,"S, A, S","Google, Apple, Facebook, Amazon, Microsoft","Artificial Intelligence, Quantum Computing, 5G, Augmented Reality, Blockchain"
